MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
headpose-rankpose,mobilefacenetfc512,112x112,lne,CPU,F32,4.4,0.5,6.2,25.0,0.4,29.8,0.0,30.3,33.0,6590680.4,11.1,0.6,0.0,0.0,0.0,0.0,41.7,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,112x112,onnxruntime,CPU,F32,4.4,0.5,6.2,25.0,0.4,27.2,0.0,27.7,36.2,7212683.1,10.2,0.5,0.0,0.0,0.0,0.0,51.7,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,192x224,lne,CPU,F32,4.63,1.6,6.3,25.2,1.0,89.5,0.0,90.5,11.0,2203515.9,12.2,0.7,0.0,0.0,0.0,0.0,46.8,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,192x224,onnxruntime,CPU,F32,4.63,1.6,6.3,25.2,0.7,86.5,0.0,87.3,11.5,2285727.6,10.5,0.6,0.0,0.0,0.0,0.0,52.0,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,224x224,lne,CPU,F32,4.43,1.9,6.3,25.3,1.1,107.9,0.0,109.1,9.2,1829150.5,12.3,0.7,0.0,0.0,0.0,0.0,47.6,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,224x224,onnxruntime,CPU,F32,4.43,1.9,6.3,25.3,0.8,96.9,0.0,97.7,10.2,2042613.0,10.6,0.6,0.0,0.0,0.0,0.0,51.9,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,96x112,lne,CPU,F32,4.63,0.4,6.2,25.0,0.6,42.1,0.0,42.8,23.4,4663043.5,10.6,0.6,0.0,0.0,0.0,0.0,43.4,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512,96x112,onnxruntime,CPU,F32,4.63,0.4,6.2,25.0,0.4,20.4,0.0,20.8,48.1,9596599.8,11.6,0.6,0.0,0.0,0.0,0.0,51.1,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512onlypose,96x112,lne,CPU,F32,4.34,0.4,3.0,12.1,0.6,44.2,0.0,44.8,22.3,4450728.7,10.2,0.5,0.0,0.0,0.0,0.0,43.9,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetfc512onlypose,96x112,onnxruntime,CPU,F32,4.34,0.4,3.0,12.1,0.4,18.1,0.0,18.5,54.0,10779960.4,11.5,0.6,0.0,0.0,0.0,0.0,52.0,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetonlyposefc512,112x112,lne,CPU,F32,4.38,0.5,3.0,12.1,0.6,47.3,0.0,48.0,20.9,4159838.2,10.4,0.6,0.0,0.0,0.0,0.0,44.6,0.0,0.0,-263.2,0.0,0.0,0.0
headpose-rankpose,mobilefacenetonlyposefc512,112x112,onnxruntime,CPU,F32,4.38,0.5,3.0,12.1,0.6,44.1,0.3,45.0,22.2,4432475.0,10.6,0.6,0.0,0.0,0.0,0.0,51.1,0.0,0.0,-263.2,0.0,0.0,0.0
