MODEL,ENGINE,PROCESSOR,PRECISION,utilization,temperature,POWER_CONSUMPTION,voltage,INFERENCE_TIME
nanodet-plus-m-320x320,acl,NPU,F32,5,36,69.9,1223,20.2776
nanodet-plus-m-320x256,acl,NPU,F32,5,36,70.2,1222,8.24801
nanodet-Efficientnet,acl,NPU,F32,5,36,70.3,1223,9.47042
nanodet-Resnet,acl,NPU,F32,5,36,70.3,1223,8.73206
imagenet-mobilenet-v2-default,acl,NPU,F32,5,37,70.0,1223,7.25346
mnist-lenet5-master-default,acl,NPU,F32,5,37,70.4,1223,6.14165
retinaface,acl,NPU,F32,5,37,70.2,1222,7.81451
retinaface,acl,NPU,F32,5,37,70.8,1223,7.83686
retinaface,acl,NPU,F32,5,37,70.1,1223,7.95686
retinaface,acl,NPU,F32,5,37,70.3,1223,7.71779
mnist-lenet5-master-default,acl,NPU,F32,5,38,70.4,1223,5.20077
mnist-lenet5-master-default,acl,NPU,F32,5,38,70.6,1223,2.08828
mnist-lenet5-master-default,acl,NPU,F32,5,38,71.2,1223,2.27375
mnist-lenet5-master-default,acl,NPU,F32,5,38,71.2,1223,4.47159
mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,2.30097
mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,4.4561
mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,2.42147
mnist-lenet5-master-default,acl,NPU,F32,5,38,70.5,1223,2.29472
mnist-lenet5-master-default,acl,NPU,F32,5,38,70.4,1223,2.23847
nanodet-plus-m-320x320,acl,NPU,F32,5,38,70.3,1222,8.67902
nanodet-plus-m-320x320,acl,NPU,F32,5,38,71.2,1223,8.41403
nanodet-plus-m-320x256,acl,NPU,F32,5,38,70.3,1223,7.31456
nanodet-plus-m-320x256,acl,NPU,F32,5,38,70.3,1223,8.50544
nanodet-Resnet,acl,NPU,F32,5,38,70.3,1223,8.9571
nanodet-Resnet,acl,NPU,F32,5,38,70.8,1223,8.76147
nanodet-Efficientnet,acl,NPU,F32,5,38,70.6,1223,9.54606
nanodet-Efficientnet,acl,NPU,F32,5,38,70.4,1223,9.46431
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,7.24043
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.1,1223,7.40405
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,7.37376
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,6.26798
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.8,1223,5.27637
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.8,1223,6.33544
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.2,1223,7.18384
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,7.42732
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.3,1223,3.03131
imagenet-mobilenet-v2-default,acl,NPU,F32,5,38,70.1,1223,7.27025
retinaface,acl,NPU,F32,5,38,70.7,1223,7.991827
retinaface,acl,NPU,F32,5,38,71.7,1223,7.815095
