MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
imagenet-alexnet,benchmark,227x227,lne,GPU/CPU,F32,56.6,1.4,61.0,243.9,6.3,324.9,0.0,331.2,3.0,10145.1,43.0,0.6,0.0,0.0,0.0,0.0,51.7,0.0,0.0,53.3,0.0,0.0,0.0
imagenet-efficientb0,default,224x224,lne,GPU/CPU,F32,77.1,0.8,5.3,21.1,6.2,559.0,0.0,565.2,1.8,5944.6,31.7,0.4,0.0,0.0,0.0,0.0,52.4,0.0,0.0,53.4,0.0,0.0,0.0
imagenet-efficientb0,default,224x224,ncnn,GPU,F16,77.1,0.8,5.3,10.5,6.2,1174.8,0.5,1181.6,0.8,2843.7,39.4,0.6,0.0,0.0,0.0,0.0,29.6,0.0,0.0,56.1,0.0,0.0,0.0
imagenet-efficientb0,default,224x224,ncnn,GPU,F32,77.1,0.8,5.3,21.1,6.2,1173.1,0.5,1179.8,0.8,2847.9,39.8,0.6,0.0,0.0,0.0,0.0,29.6,0.0,0.0,55.8,0.0,0.0,0.0
imagenet-efficientb0,default,224x224,onnxruntime,CPU,F32,77.1,0.8,5.3,21.1,6.2,883.0,0.1,889.3,1.1,3778.3,31.3,0.4,0.0,0.0,0.0,0.0,53.6,0.0,0.0,54.1,0.0,0.0,0.0
imagenet-googlenet,benchmark,224x224,lne,GPU/CPU,F32,66.5,3.2,7.0,28.0,6.1,550.7,0.0,556.9,1.8,6033.3,34.1,0.5,0.0,0.0,0.0,0.0,52.7,0.0,0.0,54.8,0.0,0.0,0.0
imagenet-mobilenet,default,224x224,lne,GPU/CPU,F32,69.5,1.1,4.2,16.9,6.1,220.5,0.1,226.7,4.4,14820.4,30.6,0.4,0.0,0.0,0.0,0.0,50.8,0.0,0.0,53.7,0.0,0.0,0.0
imagenet-mobilenet-v2,fp32,224x224,lne,GPU/CPU,F32,71.8,0.6,3.5,14.0,3.0,171.1,0.1,174.2,5.7,19290.7,30.1,0.4,0.0,0.0,0.0,0.0,50.2,0.0,0.0,52.1,0.0,0.0,0.0
imagenet-mobilenet-v2,fp32,224x224,ncnn,GPU,F16,71.8,0.6,3.5,7.0,3.2,834.6,0.5,838.3,1.2,4007.9,34.4,0.5,0.0,0.0,0.0,0.0,29.5,0.0,0.0,54.6,0.0,0.0,0.0
imagenet-mobilenet-v2,fp32,224x224,ncnn,GPU,F32,71.8,0.6,3.5,14.0,3.2,834.7,0.5,838.3,1.2,4007.9,34.6,0.5,0.0,0.0,0.0,0.0,29.5,0.0,0.0,54.2,0.0,0.0,0.0
imagenet-mobilenet-v2,fp32,224x224,onnxruntime,CPU,F32,71.8,0.6,3.5,14.0,3.0,472.8,0.1,475.9,2.1,7060.7,29.9,0.4,0.0,0.0,0.0,0.0,53.3,0.0,0.0,53.1,0.0,0.0,0.0
imagenet-mobilenetv3,large,223x224,lne,GPU/CPU,F32,75.2,0.4,5.5,21.9,6.1,130.7,0.1,136.9,7.3,24542.5,32.6,0.4,0.0,0.0,0.0,0.0,49.0,0.0,0.0,50.9,0.0,0.0,0.0
imagenet-mobilenetv3,large,223x224,ncnn,GPU,F16,75.2,0.4,5.5,10.9,6.2,763.8,0.7,770.7,1.3,4359.6,36.9,0.6,0.0,0.0,0.0,0.0,30.0,0.0,0.0,54.8,0.0,0.0,0.0
imagenet-mobilenetv3,large,223x224,ncnn,GPU,F32,75.2,0.4,5.5,21.9,6.3,763.6,0.7,770.6,1.3,4360.4,37.6,0.6,0.0,0.0,0.0,0.0,30.0,0.0,0.0,53.6,0.0,0.0,0.0
imagenet-mobilenetv3,large,223x224,onnxruntime,CPU,F32,75.2,0.4,5.5,21.9,6.2,478.1,0.1,484.3,2.1,6937.4,30.7,0.4,0.0,0.0,0.0,0.0,53.4,0.0,0.0,53.1,0.0,0.0,0.0
imagenet-mobilenetv3,small,223x224,lne,GPU/CPU,F32,67.4,0.1,2.9,11.8,6.2,42.8,0.1,49.0,20.4,68592.8,30.7,0.4,0.0,0.0,0.0,0.0,45.5,0.0,0.0,49.6,0.0,0.0,0.0
imagenet-mobilenetv3,small,223x224,ncnn,GPU,F16,67.4,0.1,2.9,5.9,6.2,295.4,0.5,302.0,3.3,11124.2,36.7,0.5,0.0,0.0,0.0,0.0,31.1,0.0,0.0,52.0,0.0,0.0,0.0
imagenet-mobilenetv3,small,223x224,ncnn,GPU,F32,67.4,0.1,2.9,11.8,6.2,295.2,0.5,301.9,3.3,11129.6,37.2,0.5,0.0,0.0,0.0,0.0,31.1,0.0,0.0,51.5,0.0,0.0,0.0
imagenet-mobilenetv3,small,223x224,onnxruntime,CPU,F32,67.4,0.1,2.9,11.8,6.2,186.6,0.1,192.8,5.2,17425.7,29.7,0.4,0.0,0.0,0.0,0.0,52.5,0.0,0.0,50.6,0.0,0.0,0.0
imagenet-resnet-resnet18,benchmark,224x224,lne,GPU/CPU,F32,69.6,3.7,11.7,46.8,6.1,405.5,0.0,411.7,2.4,8161.7,40.3,0.6,0.0,0.0,0.0,0.0,52.4,0.0,0.0,55.5,0.0,0.0,0.0
imagenet-resnet-resnet32,caffe,224x224,lne,GPU/CPU,F32,73.3,4.6,20.7,82.9,6.1,672.0,0.0,678.2,1.5,4954.0,36.5,0.5,0.0,0.0,0.0,0.0,53.2,0.0,0.0,57.0,0.0,0.0,0.0
imagenet-resnet-resnet50,onnx,224x224,lne,GPU/CPU,F32,76.0,7.7,25.5,102.1,6.2,1027.0,0.0,1033.3,1.0,3251.8,46.5,0.7,0.0,0.0,0.0,0.0,53.7,0.0,0.0,58.1,0.0,0.0,0.0
imagenet-resnet-resnet50,onnx,224x224,ncnn,GPU,F16,76.0,7.7,25.5,51.1,6.3,6751.9,0.9,6759.0,0.1,497.1,60.7,1.1,0.0,0.0,0.0,0.0,29.0,0.0,0.0,57.5,0.0,0.0,0.0
imagenet-resnet-resnet50,onnx,224x224,ncnn,GPU,F32,76.0,7.7,25.5,102.1,6.2,6749.1,0.8,6756.2,0.1,497.3,63.2,1.1,0.0,0.0,0.0,0.0,29.0,0.0,0.0,57.2,0.0,0.0,0.0
imagenet-resnet-resnet50,onnx,224x224,onnxruntime,CPU,F32,76.0,7.7,25.5,102.1,6.2,2889.6,0.1,2895.9,0.3,1160.3,43.1,0.6,0.0,0.0,0.0,0.0,53.9,0.0,0.0,56.5,0.0,0.0,0.0
imagenet-squeezenet,benchmark,227x227,lne,GPU/CPU,F32,58.2,0.8,1.2,4.9,6.3,129.1,0.1,135.5,7.4,24806.1,29.6,0.4,0.0,0.0,0.0,0.0,49.1,0.0,0.0,50.9,0.0,0.0,0.0
