MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
imagenet-alexnet,benchmark,227x227,lne,CPU,F32,56.6,1.4,61.0,243.9,3.8,196.4,0.0,200.2,5.0,35358.8,44.2,1.4,0.0,0.0,0.0,0.0,55.9,0.0,0.0,70.7,0.0,0.0,0.0
imagenet-efficientb0,default,224x224,lne,CPU,F32,77.1,0.8,5.3,21.1,3.4,239.5,0.0,243.0,4.1,29136.9,37.3,1.2,0.0,0.0,0.0,0.0,54.8,0.0,0.0,72.4,0.0,0.0,0.0
imagenet-efficientb0,default,224x224,onnxruntime,CPU,F32,77.1,0.8,5.3,21.1,3.5,545.9,0.1,549.5,1.8,12884.3,37.8,1.2,0.0,0.0,0.0,0.0,56.0,0.0,0.0,74.2,0.0,0.0,0.0
imagenet-googlenet,benchmark,224x224,lne,CPU,F32,66.5,3.2,7.0,28.0,3.7,297.1,0.0,300.8,3.3,23535.9,19.9,0.6,0.0,0.0,0.0,0.0,54.5,0.0,0.0,73.1,0.0,0.0,0.0
imagenet-mobilenet,default,224x224,lne,CPU,F32,69.5,1.1,4.2,16.9,4.6,127.7,0.0,132.4,7.6,53467.4,37.8,1.2,0.0,0.0,0.0,0.0,54.7,0.0,0.0,71.5,0.0,0.0,0.0
imagenet-mobilenet-v2,fp32,224x224,lne,CPU,F32,71.8,0.6,3.5,14.0,4.7,136.7,0.0,141.4,7.1,50079.6,37.6,1.2,0.0,0.0,0.0,0.0,55.1,0.0,0.0,72.2,0.0,0.0,0.0
imagenet-mobilenet-v2,fp32,224x224,onnxruntime,CPU,F32,71.8,0.6,3.5,14.0,4.7,285.7,0.1,290.5,3.4,24370.6,37.4,1.2,0.0,0.0,0.0,0.0,56.3,0.0,0.0,72.7,0.0,0.0,0.0
imagenet-mobilenetv3,large,223x224,lne,CPU,F32,75.2,0.4,5.5,21.9,4.7,71.5,0.1,76.3,13.1,92820.4,38.5,1.2,0.0,0.0,0.0,0.0,54.5,0.0,0.0,68.5,0.0,0.0,0.0
imagenet-mobilenetv3,large,223x224,onnxruntime,CPU,F32,75.2,0.4,5.5,21.9,4.7,277.4,0.1,282.1,3.5,25093.2,37.6,1.2,0.0,0.0,0.0,0.0,55.6,0.0,0.0,69.5,0.0,0.0,0.0
imagenet-mobilenetv3,small,223x224,lne,CPU,F32,67.4,0.1,2.9,11.8,4.7,22.6,0.1,27.3,36.6,259289.7,37.7,1.2,0.0,0.0,0.0,0.0,55.3,0.0,0.0,67.6,0.0,0.0,0.0
imagenet-mobilenetv3,small,223x224,onnxruntime,CPU,F32,67.4,0.1,2.9,11.8,4.7,118.5,0.1,123.3,8.1,57430.1,37.1,1.2,0.0,0.0,0.0,0.0,56.8,0.0,0.0,68.4,0.0,0.0,0.0
imagenet-resnet-resnet18,benchmark,224x224,lne,CPU,F32,69.6,3.7,11.7,46.8,3.7,219.6,0.0,223.4,4.5,31697.5,42.4,1.4,0.0,0.0,0.0,0.0,56.0,0.0,0.0,72.7,0.0,0.0,0.0
imagenet-resnet-resnet32,caffe,224x224,lne,CPU,F32,73.3,4.6,20.7,82.9,3.7,400.1,0.0,403.8,2.5,17531.8,38.7,1.2,0.0,0.0,0.0,0.0,56.3,0.0,0.0,74.1,0.0,0.0,0.0
imagenet-resnet-resnet50,onnx,224x224,lne,CPU,F32,76.0,7.7,25.5,102.1,4.8,623.5,0.0,628.3,1.6,11268.6,44.2,1.4,0.0,0.0,0.0,0.0,52.7,0.0,0.0,72.8,0.0,0.0,0.0
imagenet-resnet-resnet50,onnx,224x224,onnxruntime,CPU,F32,76.0,7.7,25.5,102.1,4.8,1721.0,0.1,1726.0,0.6,4102.1,41.9,1.3,0.0,0.0,0.0,0.0,55.5,0.0,0.0,75.7,0.0,0.0,0.0
imagenet-squeezenet,benchmark,227x227,lne,CPU,F32,58.2,0.8,1.2,4.9,3.6,69.6,0.0,73.3,13.6,96629.5,36.9,1.2,0.0,0.0,0.0,0.0,56.3,0.0,0.0,71.7,0.0,0.0,0.0
