MODEL,VERSION,INPUT_TILE,ENGINE,PROCESSOR,PRECISION,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY
incar-object-detection-nanodet,resnet50,320x320,lne,CPU,F32,17.4,24.4,97.4,4.3,614.4,0.8,619.5,1.6,16818.5,6.8,2.5,6.8,2.1,3.0,3.0,69.9,0.0,0.0,46.4,45.2,9.0,1.6
incar-object-detection-nanodet,resnet50,320x320,onnxruntime,CPU,F32,17.4,24.4,97.4,4.4,1370.1,1.5,1376.0,0.7,7572.1,6.2,2.3,6.2,1.9,1.1,2.0,69.6,0.0,0.0,46.7,45.5,8.5,0.7
incar-object-detection-nanodet,resnet50,320x320,lne,GPU/CPU,F32,17.4,24.4,97.4,12.0,501.2,2.5,515.6,1.9,20206.2,12.9,6.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,35.2,37.5,9.2,1.8
incar-object-detection-nanodet,resnet50,320x320,tensorrt,NPU/GPU,S8,17.4,24.4,24.4,7.9,79.2,4.3,91.4,10.9,113946.4,16.3,7.1,9.7,3.0,2.0,2.0,99.9,0.0,0.0,35.5,37.5,9.2,10.3
incar-object-detection-nanodet,resnet50,320x320,tensorrt,GPU,S8,17.4,24.4,24.4,7.9,12.7,5.5,26.2,38.2,398347.1,15.9,7.0,9.7,3.0,2.0,2.0,99.9,0.0,0.0,35.2,37.5,9.2,36.1
incar-object-detection-nanodet,resnet50,320x320,tensorrt,NPU/GPU,F16,17.4,24.4,48.7,7.7,103.5,3.6,114.8,8.7,90768.2,16.6,7.2,9.7,3.0,2.0,2.0,100.0,0.0,4.0,35.3,37.5,9.2,8.2
incar-object-detection-nanodet,resnet50,320x320,tensorrt,GPU,F16,17.4,24.4,48.7,8.4,13.3,5.0,26.7,37.5,390748.6,16.2,7.1,9.7,3.0,2.0,2.0,100.0,0.0,0.0,35.0,37.5,9.2,35.4
incar-object-detection-nanodet,resnet50,320x320,tensorrt,GPU,F32,17.4,24.4,97.4,7.4,33.8,2.6,43.8,22.8,237773.5,16.5,7.2,9.7,3.0,2.0,2.0,100.0,0.0,0.0,35.5,37.5,9.2,21.6
incar-object-detection-nanodet,resnet50,320x320,ncnn,GPU,F16,17.4,24.4,48.7,8.4,63.2,10.7,82.3,12.2,126595.0,11.8,5.7,9.7,3.0,2.0,2.0,100.0,0.0,0.0,35.5,37.5,9.2,11.5
incar-object-detection-nanodet,resnet50,320x320,ncnn,GPU,F32,17.4,24.4,97.4,8.4,64.7,7.4,80.5,12.4,129356.4,11.9,5.7,9.7,3.0,2.0,2.0,100.0,0.0,0.0,35.2,37.5,9.2,11.7
incar-object-detection-nanodet,resnet50,320x320,onnxruntime,CPU,F32,17.4,24.4,97.4,9.8,2080.6,4.5,2094.8,0.5,4973.6,9.6,5.0,9.7,3.0,2.0,2.0,100.0,0.0,0.0,35.0,37.5,9.2,0.5
incar-object-detection-nanodet,resnet50,640x640,lne,CPU,F32,81.4,28.5,114.1,40.3,5862.6,8.2,5911.1,0.2,1762.6,7.0,1.6,7.0,2.2,2.3,3.0,100.0,0.0,0.0,39.6,38.3,9.8,0.7
incar-object-detection-nanodet,resnet50,640x640,onnxruntime,CPU,F32,81.4,28.5,114.1,33.8,7216.0,8.1,7257.9,0.1,1435.5,6.1,1.4,6.1,1.9,2.0,2.0,100.0,0.0,0.0,41.1,39.7,9.7,0.6
